key,message,comment,context
"Apellidos","Cognoms","",""
"Nombre","Nom","",""
"DNI","DNI","",""
"Dias","Dies","",""
"Mes","Mes","",""
"Año","Any","",""
"Tipo Jornada","Tipus Jornada","",""
"Hora inicio","Hora inicio","",""
"Hora fin","Hora fi","",""
"Motivo falta","Motiu falta","",""
"Otro motivo","Un altre motiu","",""
"Disconformidad","Disconformitat","",""
"Resolución","Resolució","",""
"Tipo de Resolución","Tipus de Resolució","",""
"Foto o PDF del justificante","Foto o PDF del justificant","",""
"Documento a firmar por el usuario","Document a signar per l'usuari","",""
"Documento ","Document ","",""
"Fichero PDF","Fitxer PDF","",""
"Toda la jornada","Tota la jornada","",""
"Jornada parcial","Jornada parcial","",""
"Enfermedad común","Malaltia comuna","",""
"Permiso médico, educativo o asistencial","Permís mèdic, educatiu o assistencial","",""
"Traslado de domicilio","Trasllat de domicili","",""
"Asistencia a pruebas selectivas y exámenes","Assistència a proves selectives i exàmens","",""
"Nacimiento, adopción o acogimiento","Naixement, adopció o acolliment","",""
"Fallecimiento o enfermedad grave de un familiar","Defunció o malaltia greu d'un familiar","",""
"Deber inexcusable","Deure inexcusable","",""
"Funciones representativas","Funcions representatives","",""
"Otros","Altres","",""
"Septiembre","Setembre","",""
"Octubre","Octubre","",""
"Noviembre","Novembre","",""
"Diciembre","Desembre","",""
"Enero","Gener","",""
"Febrero","Febrer","",""
"Marzo","Març","",""
"Abril","Abril","",""
"Mayo","Maig","",""
"Junio","Juny","",""
"Resolver positivamente","Resoldre positivament","",""
"Resolver negativamente(Rechazar)","Resoldre negativament(Rebutjar)","",""
"Solicitar subsanación de datos","Sol·licitar esmena de dades","",""
"Justificación de falta del profesorado","Justificació de falta del professorat","",""
"Datos del Profesor","Dades del Professor","",""
"Datos de la Falta","Dades de la Falta","",""
"Adjuntar justificante","Adjuntar justificant","",""
"Justificante","Justificant","",""
"Firmar digitalmente el documento","Signar digitalment el document","",""
"Ver documento firmado","Veure document signat","",""
"Resolver expediente","Resoldre expedient","",""
"Explicar los datos a subsanar","Explicar les dades a esmenar","",""
"Motivo del rechazo","Motiu del rebuig","",""
"Justificantes","Justificants","",""
"Documento firmado por el usuario","Document signat per l'usuari","",""
"Documento firmado por el usuario y el director","Document signat per l'usuari i el director","",""
"Disconformidad de los datos presentados","Disconformitat de les dades presentades","",""
"Motivo disconformidad","Motiu disconformitat","",""
"Borrar","Esborrar","",""
"Siguiente","Següent","",""
"Salir","Sortir","",""
"Atrás","Enrere","",""
"Presentar documentación","Presentar documentació","",""
"Resolver el expediente","Resoldre l'expedient","",""
