key,message,comment,context
"Alumno","Alumno","",""
"Crear un nuevo expediente de alumno","Crear un nuevo expediente de alumno","",""
"Expedientes Pendientes","Expedientes Pendientes","",""
"Listado de expedientes pendientes de que realices la tarea","Listado de expedientes pendientes de que realices la tarea","",""
"Expedientes","Expedientes","",""
"Administrativo","Administrativo","",""
"Crear un nuevo expediente de administrativo","Crear un nuevo expediente de administrativo","",""
"Expedientes Cerrados","Expedientes Cerrados","",""
"Expedientes cerrados","Expedientes cerrados","",""
"Trámites","Trámites","",""
"Trámite","Trámite","",""
"Tutor","Tutor","",""
"Crear un nuevo expediente de tutor","Crear un nuevo expediente de tutor","",""
"Expedientes Esperando","Expedientes Esperando","",""
"Expedientes esperando a que otra persona realice una tarea","Expedientes esperando a que otra persona realice una tarea","",""
"Conserje","Conserje","",""
"Crear un nuevo expediente de conserje","Crear un nuevo expediente de conserje","",""
"Prueba búsqueda","Prueba búsqueda","",""
"Prueba de Búsqueda","Prueba de Búsqueda","",""
"Profesor","Profesor","",""
"Crear un nuevo expediente de profesor","Crear un nuevo expediente de profesor","",""
"Dirección","Dirección","",""
"Crear un nuevo expediente de dirección","Crear un nuevo expediente de dirección","",""
